.model,date,transformed_KWH,.mean
model,2018 Dec,"N(6.2, 0.00016)",6.187036077791329
arima100110,2014 Jan,"N(6.2, 9.9e-05)",6.211439096697544
arima100110,2014 Feb,"N(6.2, 1e-04)",6.190739984392447
arima100110,2014 Mar,"N(6.2, 1e-04)",6.17149984515908
arima100110,2014 Apr,"N(6.2, 1e-04)",6.161414414065677
arima100110,2014 May,"N(6.2, 1e-04)",6.16195117740408
arima100110,2014 Jun,"N(6.2, 1e-04)",6.192477522432661
arima100110,2014 Jul,"N(6.2, 1e-04)",6.201062831823066
arima100110,2014 Aug,"N(6.2, 1e-04)",6.208577724817407
arima100110,2014 Sep,"N(6.2, 1e-04)",6.190432256285474
arima100110,2014 Oct,"N(6.2, 1e-04)",6.1584612161439845
arima100110,2014 Nov,"N(6.2, 1e-04)",6.15996602092063
arima100110,2014 Dec,"N(6.2, 1e-04)",6.177093736666807
arima100110,2015 Jan,"N(6.2, 0.00013)",6.217319276754018
arima100110,2015 Feb,"N(6.2, 0.00013)",6.191106598751833
arima100110,2015 Mar,"N(6.2, 0.00013)",6.173199605202988
arima100110,2015 Apr,"N(6.2, 0.00013)",6.164799581034043
arima100110,2015 May,"N(6.2, 0.00013)",6.16366837826531
arima100110,2015 Jun,"N(6.2, 0.00013)",6.193490898052567
arima100110,2015 Jul,"N(6.2, 0.00013)",6.20078091780111
arima100110,2015 Aug,"N(6.2, 0.00013)",6.208252303239687
arima100110,2015 Sep,"N(6.2, 0.00013)",6.192755578067861
arima100110,2015 Oct,"N(6.2, 0.00013)",6.160319363191343
arima100110,2015 Nov,"N(6.2, 0.00013)",6.161163929748746
arima100110,2015 Dec,"N(6.2, 0.00013)",6.179506378289244
arima100110,2016 Jan,"N(6.2, 0.00019)",6.216450418775744
arima100110,2016 Feb,"N(6.2, 0.00019)",6.192975005037879
arima100110,2016 Mar,"N(6.2, 0.00019)",6.174406158118302
arima100110,2016 Apr,"N(6.2, 0.00019)",6.165169396999329
arima100110,2016 May,"N(6.2, 0.00019)",6.1648662725142325
arima100110,2016 Jun,"N(6.2, 0.00019)",6.1950382133090995
arima100110,2016 Jul,"N(6.2, 0.00019)",6.202971292421292
arima100110,2016 Aug,"N(6.2, 0.00019)",6.210464277616572
arima100110,2016 Sep,"N(6.2, 0.00019)",6.19365255758601
arima100110,2016 Oct,"N(6.2, 0.00019)",6.161447283311057
arima100110,2016 Nov,"N(6.2, 0.00019)",6.162619631667528
arima100110,2016 Dec,"N(6.2, 0.00019)",6.1803590140887
arima100110,2017 Jan,"N(6.2, 0.00023)",6.2189321875326895
arima100110,2017 Feb,"N(6.2, 0.00023)",6.194097831857
arima100110,2017 Mar,"N(6.2, 0.00023)",6.175857568594435
arima100110,2017 Apr,"N(6.2, 0.00023)",6.167036213816436
arima100110,2017 May,"N(6.2, 0.00023)",6.166321981671
arima100110,2017 Jun,"N(6.2, 0.00023)",6.196320448948024
arima100110,2017 Jul,"N(6.2, 0.00023)",6.2039342748740465
arima100110,2017 Aug,"N(6.2, 0.00023)",6.211416536656314
arima100110,2017 Sep,"N(6.2, 0.00023)",6.195257658839364
arima100110,2017 Oct,"N(6.2, 0.00023)",6.162937731816883
arima100110,2017 Nov,"N(6.2, 0.00023)",6.163947349654779
arima100110,2017 Dec,"N(6.2, 0.00023)",6.181986130220119
arima100110,2018 Jan,"N(6.2, 0.00028)",6.21975050448199
arima100110,2018 Feb,"N(6.2, 0.00028)",6.19559080898232
arima100110,2018 Mar,"N(6.2, 0.00028)",6.177187417110867
arima100110,2018 Apr,"N(6.2, 0.00028)",6.168159829743145
arima100110,2018 May,"N(6.2, 0.00028)",6.167649696064882
